Mood,Language,Song Title,Artist(s),Spotify Link
Sad,English,Everybody Hurts,R.E.M.,https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP?si=b4fced80885243ad
Sad,English,Bleeding Love,Leona Lewis,https://open.spotify.com/track/7wZUrN8oemZfsEd1CGkbXE?si=bd43b16a78e64ce3
Neutral,English,Memories,Maroon 5,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI?si=e2716f373d914bd8
Neutral,English,Photograph,Ed Sheeran,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL?si=4680b444312745bc
Neutral,English,Treat You Better,Shawn Mendes,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd?si=c2f774e9ebdb4089
Neutral,English,Perfect,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v?si=cc89ad2165304ced
Neutral,English,Just the Way You Are,Bruno Mars,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ?si=4e8058aab22747c3
Neutral,English,Love Yourself,Justin Bieber,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0?si=3b493bb414a04629
Neutral,English,Story of My Life,One Direction,https://open.spotify.com/track/4nVBt6MZDDP6tRVdQTgxJg?si=d114179fc180472c
Neutral,English,Counting Stars,OneRepublic,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1?si=adf6fa89578e4fc1
Neutral,English,Demons,Imagine Dragons,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR?si=b2ebd70e2d8c4a54
Neutral,English,I'm Yours,Jason Mraz,https://open.spotify.com/track/37vVp2sWHuuIBOSl1NswP6?si=47df907a7dd74d95
Neutral,English,Riptide,Vance Joy,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm?si=5e1fb8cde1874ff9
Neutral,English,Beneath Your Beautiful,"Labrinth, Emeli Sandé",https://open.spotify.com/track/2EcsgXlxz99UMDSPg5T8RF?si=ea84f30031944cd6
Neutral,English,The Night We Met,Lord Huron,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU?si=1d7cd7d6c5a3404b
Neutral,English,Let Me Love You,Justin Bieber,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU?si=a807b74dcfce4cb7
Neutral,English,Yellow,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg?si=6ac5b2523b9648f9
Neutral,English,Ocean Eyes,Billie Eilish,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9?si=9c928cf794774c81
Neutral,English,Can’t Help Falling in Love,Elvis Presley,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC?si=00dd48b79972409b
Neutral,English,Somewhere Only We Know,Keane,https://open.spotify.com/track/1SKPmfSYaPsETbRHaiA18G?si=607b0ff5e52c41f4
Neutral,English,Little Do You Know,Alex & Sierra,https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT?si=9de8ba62b26a459a
Neutral,English,What About Us,P!nk,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb?si=a5480770f54d4354
Happy,English,Happy,Pharrell Williams,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH?si=534b35dee71b43e3
